Date,Time,Latitude,Longitude,Speed,Altitude,ir,luminosity,pm1s,pm25s,pm10s,pm1e,pm25e,pm10e,a03um01Lair,a05um01Lair,a1um01Lair,a25um01Lair,a5um01Lair,a10um01Lair,Co2,Temp,Hum,
13/7/2021,19:41:40.000,14.5797,121.0835,0.3,110.5,65535,0.0,30,35,35,25,32,35,5901,1594,119,2,0,0,731.25,0,0
13/7/2021,19:41:42.000,14.5797,121.0835,0.29,110.5,65535,0.0,29,34,34,25,32,34,5808,1572,119,2,0,0,931.25,0,0
13/7/2021,19:41:42.000,14.5797,121.0835,0.29,110.5,65535,0.0,29,34,34,25,32,34,5808,1572,119,2,0,0,746.88,0,0
13/7/2021,19:41:46.000,14.5797,121.0835,0.28,110.5,65535,0.0,29,34,34,25,32,34,5598,1522,111,2,0,0,778.13,0,0
13/7/2021,19:41:48.000,14.5798,121.0834,0.12,110.5,65535,0.0,28,33,33,24,32,33,5400,1471,109,3,0,0,731.25,0,0
13/7/2021,19:41:50.000,14.5798,121.0834,0.18,110.5,65535,0.0,27,32,32,23,31,32,5400,1471,109,3,0,0,746.88,0,0
13/7/2021,19:41:52.000,14.5798,121.0834,0.06,110.5,65535,0.0,26,31,31,23,30,31,5196,1414,103,3,0,0,778.13,0,0
13/7/2021,19:41:52.000,14.5798,121.0834,0.06,110.5,65535,0.0,26,30,30,23,30,30,5001,1346,94,2,0,0,746.88,0,0
13/7/2021,19:41:56.000,14.5798,121.0834,0.23,110.5,65535,0.0,25,28,28,23,28,28,4755,1279,86,2,0,0,746.88,0,0
13/7/2021,19:41:58.000,14.5798,121.0834,0.15,110.5,65535,0.0,24,27,27,22,27,27,4755,1279,86,2,0,0,746.88,0,0
13/7/2021,19:42:00.000,14.5798,121.0834,0.14,110.5,65535,0.0,23,26,26,21,26,26,4554,1227,89,2,0,0,778.13,0,0
13/7/2021,19:42:02.000,14.5798,121.0834,0.23,110.5,65535,0.0,23,26,26,22,26,26,4407,1179,89,2,0,0,762.5,0,0
13/7/2021,19:42:02.000,14.5798,121.0834,0.23,110.5,65535,0.0,22,25,25,21,25,25,4287,1145,80,2,0,0,746.88,0,0
13/7/2021,19:42:06.000,14.5798,121.0834,0.13,110.5,65535,0.0,21,24,24,20,24,24,4287,1145,80,2,0,0,778.13,0,0
13/7/2021,19:42:08.000,14.5798,121.0834,0.14,110.5,65535,0.0,20,23,24,19,23,24,4098,1109,76,3,1,1,762.5,0,0
13/7/2021,19:42:10.000,14.5798,121.0834,0.05,110.5,65535,0.0,20,23,23,19,23,23,4086,1108,71,2,1,1,746.88,0,0
13/7/2021,19:42:12.000,14.5798,121.0834,0.06,110.5,65535,0.0,20,23,23,19,23,23,4086,1108,71,2,1,1,715.63,0,0
13/7/2021,19:42:12.000,14.5798,121.0834,0.06,110.5,65535,0.0,21,23,24,20,23,24,4077,1110,67,2,1,1,778.13,0,0
13/7/2021,19:42:16.000,14.5798,121.0834,0.42,110.5,65535,0.0,21,23,23,20,23,23,4032,1099,63,1,1,1,746.88,0,0
